indicator,population
Afghanistan,"36,000,000"
Albania,"2,900,000"
Algeria,"41,000,000"
Andorra,"77,000"
Angola,"30,000,000"
Antigua & Barbuda,"102,000"
Argentina,"44,000,000"
Armenia,"3,000,000"
Australia,"25,000,000"
Austria,"9,000,000"
Azerbaijan,"10,000,000"
Bahamas,"400,000"
Bahrain,"1,300,000"
Bangladesh,"165,000,000"
Barbados,"300,000"
Belarus,"10,000,000"
Belgium,"11,000,000"
Belize,"400,000"
Benin,"11,000,000"
Bhutan,"800,000"
Bolivia,"11,000,000"
Bosnia and Herzegovina,"3,900,000"
Botswana,"2,200,000"
Brazil,"209,000,000"
Brunei,"400,000"
Bulgaria,"7,000,000"
Burkina Faso,"19,000,000"
Burundi,"11,000,000"
Cabo Verde,"500,000"
Cambodia,"16,000,000"
Cameroon,"24,000,000"
Canada,"37,000,000"
Central African Republic,"4,900,000"
Chad,"15,000,000"
Chile,"18,000,000"
China,"1,386,000,000"
Colombia,"49,000,000"
Comoros,"800,000"
Congo (Dem. Rep.),"81,000,000"
Congo (Rep.),"4,500,000"
Costa Rica,"4,900,000"
Cote d'Ivoire,"24,000,000"
Croatia,"4,200,000"
Cuba,"11,000,000"
Cyprus,"800,000"
Czech Republic,"11,000,000"
Denmark,"6,000,000"
Djibouti,"1,000,000"
Dominica,"100,000"
Dominican Republic,"11,000,000"
Ecuador,"17,000,000"
Egypt,"98,000,000"
El Salvador,"6,000,000"
Equatorial Guinea,"800,000"
Eritrea,"5,000,000"
Estonia,"1,300,000"
Eswatini,"1,100,000"
Ethiopia,"105,000,000"
Fiji,"900,000"
Finland,"6,000,000"
France,"67,000,000"
Gabon,"1,900,000"
"Gambia, The","2,100,000"
Georgia,"3,700,000"
Germany,"83,000,000"
Ghana,"29,000,000"
Greece,"11,000,000"
Grenada,"108,000"
Guatemala,"17,000,000"
Guinea,"13,000,000"
Guinea-Bissau,"1,700,000"
Guyana,"800,000"
Haiti,"11,000,000"
Honduras,"9,000,000"
Hungary,"10,000,000"
Iceland,"300,000"
India,"1,339,000,000"
Indonesia,"264,000,000"
Iran,"81,000,000"
Iraq,"38,000,000"
Ireland,"4,700,000"
Israel,"9,000,000"
Italy,"61,000,000"
Jamaica,"2,800,000"
Japan,"127,000,000"
Jordan,"10,000,000"
Kazakhstan,"18,000,000"
Kenya,"50,000,000"
Kiribati,"100,000"
Korea,"51,000,000"
Kosovo,"1,900,000"
Kuwait,"4,200,000"
Kyrgyzstan,"6,000,000"
Laos,"7,000,000"
Latvia,"2,000,000"
Lebanon,"4,600,000"
Lesotho,"1,900,000"
Liberia,"4,400,000"
Libya,"6,000,000"
Liechtenstein,"38,000"
Lithuania,"2,900,000"
Luxembourg,"600,000"
Macedonia,"2,100,000"
Madagascar,"26,000,000"
Malawi,"19,000,000"
Malaysia,"32,000,000"
Maldives,"400,000"
Mali,"19,000,000"
Malta,"400,000"
Marshall Islands,"53,000"
Mauritania,"3,800,000"
Mauritius,"1,300,000"
Mexico,"129,000,000"
Micronesia,"100,000"
Moldova,"3,600,000"
Monaco,"39,000"
Mongolia,"3,000,000"
Montenegro,"600,000"
Morocco,"36,000,000"
Mozambique,"30,000,000"
Myanmar,"53,000,000"
Namibia,"2,300,000"
Nauru,"14,000"
Nepal,"29,000,000"
Netherlands,"17,000,000"
New Zealand,"4,700,000"
Nicaragua,"6,000,000"
Niger,"21,000,000"
Nigeria,"191,000,000"
Norway,"5,000,000"
Oman,"4,000,000"
Pakistan,"197,000,000"
Palau,"22,000"
Panama,"4,000,000"
Papua New Guinea,"8,000,000"
Paraguay,"7,000,000"
Peru,"32,000,000"
Philippines,"105,000,000"
Poland,"38,000,000"
Portugal,"10,000,000"
Qatar,"2,600,000"
Romania,"20,000,000"
Russia,"144,000,000"
Rwanda,"12,000,000"
Saint Kitts and Nevis,"55,000"
Saint Lucia,"200,000"
Saint Vincent and the Grenadines,"100,000"
Samoa,"200,000"
San Marino,"33,000"
Sao Tome and Principe,"200,000"
Saudi Arabia,"33,000,000"
Senegal,"16,000,000"
Serbia,"7,000,000"
Seychelles,"100,000"
Sierra Leone,"8,000,000"
Singapore,"6,000,000"
Slovakia,"5,000,000"
Slovenia,"2,100,000"
Solomon Islands,"600,000"
Somalia,"15,000,000"
South Africa,"57,000,000"
South Sudan,"13,000,000"
Spain,"47,000,000"
Sri Lanka,"21,000,000"
Sudan,"41,000,000"
Suriname,"600,000"
Sweden,"10,000,000"
Switzerland,"8,000,000"
Syria,"18,000,000"
Taiwan,"24,000,000"
Tajikistan,"9,000,000"
Tanzania,"57,000,000"
Thailand,"69,000,000"
Timor-Leste,"1,200,000"
Togo,"8,000,000"
Tonga,"100,000"
Trinidad and Tobago,"1,400,000"
Tunisia,"12,000,000"
Turkey,"81,000,000"
Turkmenistan,"6,000,000"
Tuvalu,"11,000"
Uganda,"43,000,000"
Ukraine,"45,000,000"
United Arab Emirates,"9,000,000"
United Kingdom,"66,000,000"
United States,"326,000,000"
Uruguay,"3,500,000"
Uzbekistan,"32,000,000"
Vanuatu,"300,000"
Venezuela,"32,000,000"
Vietnam,"96,000,000"
Yemen,"28,000,000"
Zambia,"17,000,000"
Zimbabwe,"17,000,000"
